    ID      Name        Seed      NumOptions                                              SolverGA                                                                                    SolverSA                                                                                  SolverMISOCP                                      
    __    _________    ______    _____________    ________________________________________________________________________________________    ________________________________________________________________________________________    ________________________________________________________________________________________
    14    "shape22"    "5440"    "5.45401e+17"    "30.00 [mins], 7.43e+02 [CA], 4.15e+01 [UCA], 4.15e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.59e+02 [CA], 2.46e+01 [UCA], 2.46e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.32 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    15    "shape22"    "1518"    "5.45401e+17"    "30.00 [mins], 7.59e+02 [CA], 2.52e+01 [UCA], 2.52e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.38 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    16    "shape23"    "1841"    "3.23247e+19"    "30.00 [mins], 7.46e+02 [CA], 3.78e+01 [UCA], 3.78e+01 [OLA], 1.60e-03 [OSA], [Fail   ]"    "30.00 [mins], 7.53e+02 [CA], 3.13e+01 [UCA], 2.19e+01 [OLA], 9.41e+00 [OSA], [Fail   ]"    "00.11 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    17    "shape23"    "5440"    "3.23247e+19"    "30.00 [mins], 7.54e+02 [CA], 3.01e+01 [UCA], 1.75e+01 [OLA], 1.26e+01 [OSA], [Fail   ]"    "30.00 [mins], 7.42e+02 [CA], 4.18e+01 [UCA], 3.34e+01 [OLA], 8.41e+00 [OSA], [Fail   ]"    "00.10 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    18    "shape23"    "1518"    "3.23247e+19"    "30.00 [mins], 7.54e+02 [CA], 3.01e+01 [UCA], 9.13e+00 [OLA], 2.10e+01 [OSA], [Fail   ]"    "30.00 [mins], 7.56e+02 [CA], 2.81e+01 [UCA], 2.52e+01 [OLA], 2.88e+00 [OSA], [Fail   ]"    "00.11 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    19    "shape24"    "1841"    "9.35035e+18"    "30.00 [mins], 7.53e+02 [CA], 3.08e+01 [UCA], 1.54e+01 [OLA], 1.54e+01 [OSA], [Fail   ]"    "30.00 [mins], 7.26e+02 [CA], 5.83e+01 [UCA], 5.56e+01 [OLA], 2.78e+00 [OSA], [Fail   ]"    "00.21 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    20    "shape24"    "5440"    "9.35035e+18"    "30.00 [mins], 7.34e+02 [CA], 5.04e+01 [UCA], 5.04e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.35e+02 [CA], 4.90e+01 [UCA], 4.90e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.49 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    21    "shape24"    "1518"    "9.35035e+18"    "30.00 [mins], 7.37e+02 [CA], 4.69e+01 [UCA], 2.97e+01 [OLA], 1.73e+01 [OSA], [Fail   ]"    "30.00 [mins], 7.30e+02 [CA], 5.38e+01 [UCA], 5.01e+01 [OLA], 3.70e+00 [OSA], [Fail   ]"    "00.24 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    22    "shape25"    "1841"    "1.21482e+19"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.63e+02 [CA], 2.10e+01 [UCA], 2.10e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.39 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    23    "shape25"    "5440"    "1.21482e+19"    "30.00 [mins], 7.28e+02 [CA], 5.60e+01 [UCA], 5.38e+01 [OLA], 2.16e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.18e+02 [CA], 6.58e+01 [UCA], 6.58e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.48 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
